,Title,Topic Label,Accetpance,Difficulty,Frequency
1355,1355. Activity Participants,['Database'],73.8%,Medium,0%;
1356,1356. Sort Integers by The Number of 1 Bits,"['Array', 'Bit Manipulation', 'Sorting', '1+']",72.9%,Easy,75.3474%;
1357,1357. Apply Discount Every n Orders,"['Array', 'Hash Table', 'Design']",69.9%,Medium,0%;
1358,1358. Number of Substrings Containing All Three Characters,"['Hash Table', 'String', 'Sliding Window']",63.3%,Medium,37.6083%;
1359,1359. Count All Valid Pickup and Delivery Options,"['Math', 'Dynamic Programming', '1+']",62.8%,Hard,31.8564%;
1360,1360. Number of Days Between Two Dates,"['Math', 'String']",48.1%,Easy,68.4492%;
1361,1361. Validate Binary Tree Nodes,"['Tree', 'Depth-First Search', '4+']",39.9%,Medium,18.6239%;
1362,1362. Closest Divisors,['Math'],59.8%,Medium,15.5482%;
1363,1363. Largest Multiple of Three,"['Array', 'Dynamic Programming', 'Greedy']",33.3%,Hard,42.1439%;
1364,1364. Number of Trusted Contacts of a Customer,['Database'],77.8%,Medium,15.5482%;
1365,1365. How Many Numbers Are Smaller Than the Current Number,"['Array', 'Hash Table', 'Sorting', '1+']",86.7%,Easy,46.2977%;
1366,1366. Rank Teams by Votes,"['Array', 'Hash Table', 'String', '2+']",58.0%,Medium,66.4702%;
1367,1367. Linked List in Binary Tree,"['Linked List', 'Tree', '3+']",43.7%,Medium,9.23186%;
1368,1368. Minimum Cost to Make at Least One Valid Path in a Grid,"['Array', 'Breadth-First Search', '4+']",61.5%,Hard,41.9362%;
1369,1369. Get the Second Most Recent Activity,['Database'],69.1%,Hard,0%;
1370,1370. Increasing Decreasing String,"['Hash Table', 'String', 'Counting']",77.2%,Easy,34.9753%;
1371,1371. Find the Longest Substring Containing Vowels in Even Counts,"['Hash Table', 'String', '2+']",63.2%,Medium,43.287%;
1372,1372. Longest ZigZag Path in a Binary Tree,"['Dynamic Programming', 'Tree', '2+']",60.2%,Medium,11.842%;
1373,1373. Maximum Sum BST in Binary Tree,"['Dynamic Programming', 'Tree', '3+']",39.5%,Hard,26.3234%;
1374,1374. Generate a String With Characters That Have Odd Counts,['String'],77.6%,Easy,13.3134%;
1375,1375. Number of Times Binary String Is Prefix-Aligned,['Array'],65.8%,Medium,47.0615%;
1376,1376. Time Needed to Inform All Employees,"['Tree', 'Depth-First Search', '1+']",58.3%,Medium,45.6648%;
1377,1377. Frog Position After T Seconds,"['Tree', 'Depth-First Search', '2+']",35.7%,Hard,9.71707%;
1378,1378. Replace Employee ID With The Unique Identifier,['Database'],91.1%,Easy,6.22312%;
1379,1379. Find a Corresponding Node of a Binary Tree in a Clone of That Tree,"['Tree', 'Depth-First Search', '2+']",86.7%,Easy,28.682%;
1380,1380. Lucky Numbers in a Matrix,"['Array', 'Matrix']",70.6%,Easy,47.8046%;
1381,1381. Design a Stack With Increment Operation,"['Array', 'Stack', 'Design']",77.1%,Medium,42.2552%;
1382,1382. Balance a Binary Search Tree,"['Divide and Conquer', 'Greedy', '4+']",80.7%,Medium,15.4894%;
1383,1383. Maximum Performance of a Team,"['Array', 'Greedy', 'Sorting', '1+']",48.5%,Hard,67.8425%;
1384,1384. Total Sales Amount by Year,['Database'],65.4%,Hard,17.1707%;
1385,1385. Find the Distance Value Between Two Arrays,"['Array', 'Two Pointers', '2+']",66.4%,Easy,37.4593%;
1386,1386. Cinema Seat Allocation,"['Array', 'Hash Table', 'Greedy', '1+']",40.9%,Medium,75.402%;
1387,1387. Sort Integers by The Power Value,"['Dynamic Programming', '2+']",70.1%,Medium,54.8137%;
1388,1388. Pizza With 3n Slices,"['Array', 'Dynamic Programming', '2+']",50.2%,Hard,9.71707%;
1389,1389. Create Target Array in the Given Order,"['Array', 'Simulation']",85.8%,Easy,43.3096%;
1390,1390. Four Divisors,"['Array', 'Math']",41.2%,Medium,5.89925%;
1391,1391. Check if There is a Valid Path in a Grid,"['Array', 'Depth-First Search', '3+']",47.3%,Medium,16.3206%;
1392,1392. Longest Happy Prefix,"['String', 'Rolling Hash', '2+']",44.9%,Hard,43.5587%;
1393,1393. Capital Gain/Loss,['Database'],87.7%,Medium,27.9282%;
1394,1394. Find Lucky Integer in an Array,"['Array', 'Hash Table', 'Counting']",64.3%,Easy,33.336%;
1395,1395. Count Number of Teams,"['Array', 'Dynamic Programming', '1+']",67.4%,Medium,50.921%;
1396,1396. Design Underground System,"['Hash Table', 'String', 'Design']",73.6%,Medium,71.5576%;
1397,1397. Find All Good Strings,"['String', 'Dynamic Programming', '1+']",42.3%,Hard,37.7722%;
1398,1398. Customers Who Bought Products A and B but Not C,['Database'],76.1%,Medium,18.6239%;
1399,1399. Count Largest Group,"['Hash Table', 'Math']",67.0%,Easy,17.5771%;
1400,1400. Construct K Palindrome Strings,"['Hash Table', 'String', 'Greedy', '1+']",62.9%,Medium,10.4038%;
1401,1401. Circle and Rectangle Overlapping,"['Math', 'Geometry']",44.1%,Medium,58.5443%;
1402,1402. Reducing Dishes,"['Array', 'Dynamic Programming', '2+']",72.0%,Hard,42.4834%;
1403,1403. Minimum Subsequence in Non-Increasing Order,"['Array', 'Greedy', 'Sorting']",72.3%,Easy,0%;
1404,1404. Number of Steps to Reduce a Number in Binary Representation to One,"['String', 'Bit Manipulation']",52.5%,Medium,52.5867%;
1405,1405. Longest Happy String,"['String', 'Greedy', 'Heap (Priority Queue)']",57.4%,Medium,61.2293%;
1406,1406. Stone Game III,"['Array', 'Math', '2+']",59.5%,Hard,29.3886%;
1407,1407. Top Travellers,['Database'],62.3%,Easy,4.06851%;
1408,1408. String Matching in an Array,"['Array', 'String', 'String Matching']",63.8%,Easy,32.0875%;
1409,1409. Queries on a Permutation With Key,"['Array', 'Binary Indexed Tree', 'Simulation']",83.4%,Medium,13.5957%;
1410,1410. HTML Entity Parser,"['Hash Table', 'String']",51.7%,Medium,50.0961%;
1411,1411. Number of Ways to Paint N × 3 Grid,['Dynamic Programming'],62.4%,Hard,43.5587%;
1412,1412. Find the Quiet Students in All Exams,['Database'],62.1%,Hard,0%;
1413,1413. Minimum Value to Get Positive Step by Step Sum,"['Array', 'Prefix Sum']",67.4%,Easy,50.7565%;
1414,1414. Find the Minimum Number of Fibonacci Numbers Whose Sum Is K,"['Math', 'Greedy']",65.4%,Medium,9.71707%;
1415,1415. The k-th Lexicographical String of All Happy Strings of Length n,"['String', 'Backtracking']",72.4%,Medium,16.3206%;
1416,1416. Restore The Array,"['String', 'Dynamic Programming']",38.7%,Hard,43.5587%;
1417,1417. Reformat The String,['String'],54.9%,Easy,8.28335%;
1418,1418. Display Table of Food Orders in a Restaurant,"['Array', 'Hash Table', 'String', '2+']",74.1%,Medium,34.3739%;
1419,1419. Minimum Number of Frogs Croaking,"['String', 'Counting']",50.2%,Medium,79.5628%;
1420,1420. Build Array Where You Can Find The Maximum Exactly K Comparisons,['Dynamic Programming'],63.1%,Hard,0%;
1421,1421. NPV Queries,['Database'],83.3%,Easy,0%;
1422,1422. Maximum Score After Splitting a String,['String'],58.0%,Easy,15.7137%;
1423,1423. Maximum Points You Can Obtain from Cards,"['Array', 'Sliding Window', 'Prefix Sum']",52.3%,Medium,53.4082%;
1424,1424. Diagonal Traverse II,"['Array', 'Sorting', 'Heap (Priority Queue)']",50.5%,Medium,31.215%;
1425,1425. Constrained Subsequence Sum,"['Array', 'Dynamic Programming', '4+']",47.5%,Hard,23.8549%;
1426,1426. Counting Elements,"['Array', 'Hash Table']",59.7%,Easy,3.3367%;
1427,1427. Perform String Shifts,"['Array', 'Math', 'String']",54.3%,Easy,0%;
1428,1428. Leftmost Column with at Least a One,"['Array', 'Binary Search', 'Matrix', '1+']",53.4%,Medium,49.6272%;
1429,1429. First Unique Number,"['Array', 'Hash Table', 'Design', '2+']",52.9%,Medium,30.1546%;
1430,1430. Check If a String Is a Valid Sequence from Root to Leaves Path in a Binary Tree,"['Tree', 'Depth-First Search', '2+']",46.4%,Medium,30.1546%;
1431,1431. Kids With the Greatest Number of Candies,['Array'],87.3%,Easy,43.0298%;
1432,1432. Max Difference You Can Get From Changing an Integer,"['Math', 'Greedy']",42.3%,Medium,23.8549%;
1433,1433. Check If a String Can Break Another String,"['String', 'Greedy', 'Sorting']",68.9%,Medium,0%;
1434,1434. Number of Ways to Wear Different Hats to Each Other,"['Array', 'Dynamic Programming', '2+']",43.1%,Hard,0%;
1435,1435. Create a Session Bar Chart,['Database'],77.1%,Easy,0%;
1436,1436. Destination City,"['Hash Table', 'String']",77.5%,Easy,27.0262%;
1437,1437. Check If All 1's Are at Least Length K Places Away,['Array'],58.8%,Easy,15.7137%;
1438,1438. Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,"['Array', 'Queue', 'Sliding Window', '3+']",48.3%,Medium,52.5867%;
1439,1439. Find the Kth Smallest Sum of a Matrix With Sorted Rows,"['Array', 'Binary Search', '2+']",61.4%,Hard,31.6547%;
1440,1440. Evaluate Boolean Expression,['Database'],75.3%,Medium,0%;
1441,1441. Build an Array With Stack Operations,"['Array', 'Stack', 'Simulation']",71.8%,Medium,37.6083%;
1442,1442. Count Triplets That Can Form Two Arrays of Equal XOR,"['Array', 'Hash Table', 'Math', '2+']",76.0%,Medium,26.1833%;
1443,1443. Minimum Time to Collect All Apples in a Tree,"['Hash Table', 'Tree', '2+']",62.8%,Medium,84.138%;
1444,1444. Number of Ways of Cutting a Pizza,"['Array', 'Dynamic Programming', '2+']",56.1%,Hard,99.0778%;
1445,1445. Apples & Oranges,['Database'],89.9%,Medium,0%;
1446,1446. Consecutive Characters,['String'],61.3%,Easy,19.1652%;
1447,1447. Simplified Fractions,"['Math', 'String', 'Number Theory']",65.1%,Medium,23.0875%;
1448,1448. Count Good Nodes in Binary Tree,"['Tree', 'Depth-First Search', '2+']",74.3%,Medium,39.5646%;
1449,1449. Form Largest Integer With Digits That Add up to Target,"['Array', 'Dynamic Programming']",47.7%,Hard,40.9451%;
1450,1450. Number of Students Doing Homework at a Given Time,['Array'],75.9%,Easy,10.7775%;
1451,1451. Rearrange Words in a Sentence,"['String', 'Sorting']",63.0%,Medium,30.8807%;
1452,1452. People Whose List of Favorite Companies Is Not a Subset of Another List,"['Array', 'Hash Table', 'String']",56.8%,Medium,0%;
1453,1453. Maximum Number of Darts Inside of a Circular Dartboard,"['Array', 'Math', 'Geometry']",36.9%,Hard,33.8438%;
1454,1454. Active Users,['Database'],37.8%,Medium,18.0031%;
1455,1455. Check If a Word Occurs As a Prefix of Any Word in a Sentence,"['String', 'String Matching']",64.2%,Easy,0%;
1456,1456. Maximum Number of Vowels in a Substring of Given Length,"['String', 'Sliding Window']",58.2%,Medium,12.7792%;
1457,1457. Pseudo-Palindromic Paths in a Binary Tree,"['Bit Manipulation', 'Tree', '3+']",67.9%,Medium,52.2824%;
1458,1458. Max Dot Product of Two Subsequences,"['Array', 'Dynamic Programming']",46.6%,Hard,20.3521%;
1459,1459. Rectangles Area,['Database'],69.4%,Medium,14.8423%;
1460,1460. Make Two Arrays Equal by Reversing Subarrays,"['Array', 'Hash Table', 'Sorting']",72.2%,Easy,4.24561%;
1461,1461. Check If a String Contains All Binary Codes of Size K,"['Hash Table', 'String', '3+']",56.6%,Medium,7.82491%;
1462,1462. Course Schedule IV,"['Depth-First Search', '3+']",49.0%,Medium,0%;
1463,1463. Cherry Pickup II,"['Array', 'Dynamic Programming', 'Matrix']",69.7%,Hard,32.9824%;
1464,1464. Maximum Product of Two Elements in an Array,"['Array', 'Sorting', 'Heap (Priority Queue)']",79.8%,Easy,24.0478%;
1465,1465. Maximum Area of a Piece of Cake After Horizontal and Vertical Cuts,"['Array', 'Greedy', 'Sorting']",40.9%,Medium,46.7635%;
1466,1466. Reorder Routes to Make All Paths Lead to the City Zero,"['Depth-First Search', '2+']",61.7%,Medium,36.3686%;
1467,1467. Probability of a Two Boxes Having The Same Number of Distinct Balls,"['Array', 'Math', '4+']",60.8%,Hard,0%;
1468,1468. Calculate Salaries,['Database'],80.8%,Medium,0%;
1469,1469. Find All The Lonely Nodes,"['Tree', 'Depth-First Search', '2+']",82.1%,Easy,0%;
1470,1470. Shuffle the Array,['Array'],89.0%,Easy,68.5822%;
1471,1471. The k Strongest Values in an Array,"['Array', 'Two Pointers', 'Sorting']",60.4%,Medium,12.5261%;
1472,1472. Design Browser History,"['Array', 'Linked List', 'Stack', '3+']",76.2%,Medium,77.6053%;
1473,1473. Paint House III,"['Array', 'Dynamic Programming']",61.6%,Hard,42.5608%;
1474,1474. Delete N Nodes After M Nodes of a Linked List,['Linked List'],73.4%,Easy,0%;
1475,1475. Final Prices With a Special Discount in a Shop,"['Array', 'Stack', 'Monotonic Stack']",76.0%,Easy,27.3883%;
1476,1476. Subrectangle Queries,"['Array', 'Design', 'Matrix']",88.3%,Medium,19.6222%;
1477,1477. Find Two Non-overlapping Sub-arrays Each With Target Sum,"['Array', 'Hash Table', '3+']",36.8%,Medium,29.3886%;
1478,1478. Allocate Mailboxes,"['Array', 'Math', '2+']",55.5%,Hard,29.3886%;
1479,1479. Sales by Day of the Week,['Database'],81.1%,Hard,0%;
1480,1480. Running Sum of 1d Array,"['Array', 'Prefix Sum']",87.7%,Easy,88.2466%;
1481,1481. Least Number of Unique Integers after K Removals,"['Array', 'Hash Table', 'Greedy', '2+']",55.7%,Medium,67.0532%;
1482,1482. Minimum Number of Days to Make m Bouquets,"['Array', 'Binary Search']",54.2%,Medium,52.6725%;
1483,1483. Kth Ancestor of a Tree Node,"['Binary Search', '5+']",33.8%,Hard,35.5829%;
1484,1484. Group Sold Products By The Date,['Database'],80.0%,Easy,24.8118%;
1485,1485. Clone Binary Tree With Random Pointer,"['Hash Table', 'Tree', '3+']",79.3%,Medium,16.3206%;
1486,1486. XOR Operation in an Array,"['Math', 'Bit Manipulation']",84.6%,Easy,20.1954%;
1487,1487. Making File Names Unique,"['Array', 'Hash Table', 'String']",36.2%,Medium,55.5894%;
1488,1488. Avoid Flood in The City,"['Array', 'Hash Table', '3+']",26.4%,Medium,51.4536%;
1489,1489. Find Critical and Pseudo-Critical Edges in Minimum Spanning Tree,"['Union Find', 'Graph', 'Sorting', '2+']",52.5%,Hard,37.6083%;
1490,1490. Clone N-ary Tree,"['Hash Table', 'Tree', '2+']",83.5%,Medium,0%;
1491,1491. Average Salary Excluding the Minimum and Maximum Salary,"['Array', 'Sorting']",61.4%,Easy,43.4032%;
1492,1492. The kth Factor of n,['Math'],62.7%,Medium,22.0761%;
1493,1493. Longest Subarray of 1's After Deleting One Element,"['Array', 'Dynamic Programming', '1+']",60.3%,Medium,63.2375%;
1494,1494. Parallel Courses II,"['Dynamic Programming', '3+']",30.4%,Hard,57.9822%;
1495,1495. Friendly Movies Streamed Last Month,['Database'],49.3%,Easy,0%;
1496,1496. Path Crossing,"['Hash Table', 'String']",56.0%,Easy,36.0624%;
1497,1497. Check If Array Pairs Are Divisible by k,"['Array', 'Hash Table', 'Counting']",39.2%,Medium,41.9789%;
1498,1498. Number of Subsequences That Satisfy the Given Sum Condition,"['Array', 'Two Pointers', '2+']",37.5%,Medium,51.024%;
1499,1499. Max Value of Equation,"['Array', 'Queue', 'Sliding Window', '2+']",45.8%,Hard,48.4923%;
1500,1500. Design a File Sharing System,"['Hash Table', 'Design', '2+']",44.6%,Medium,33.8438%;
1501,1501. Countries You Can Safely Invest In,['Database'],54.5%,Medium,17.1707%;
1502,1502. Can Make Arithmetic Progression From Sequence,"['Array', 'Sorting']",67.8%,Easy,19.3767%;
1503,1503. Last Moment Before All Ants Fall Out of a Plank,"['Array', 'Brainteaser', 'Simulation']",55.7%,Medium,33.3729%;
1504,1504. Count Submatrices With All Ones,"['Array', 'Dynamic Programming', '3+']",57.6%,Medium,43.0099%;
1505,1505. Minimum Possible Integer After at Most K Adjacent Swaps On Digits,"['String', 'Greedy', '2+']",38.4%,Hard,47.0615%;
1506,1506. Find Root of N-Ary Tree,"['Hash Table', 'Bit Manipulation', '2+']",78.5%,Medium,53.608%;
1507,1507. Reformat Date,['String'],63.2%,Easy,31.5248%;
1508,1508. Range Sum of Sorted Subarray Sums,"['Array', 'Two Pointers', '2+']",59.1%,Medium,17.6292%;
1509,1509. Minimum Difference Between Largest and Smallest Value in Three Moves,"['Array', 'Greedy', 'Sorting']",54.6%,Medium,49.0476%;
1510,1510. Stone Game IV,"['Math', 'Dynamic Programming', '1+']",60.4%,Hard,17.397%;
1511,1511. Customer Order Frequency,['Database'],71.6%,Easy,0%;
1512,1512. Number of Good Pairs,"['Array', 'Hash Table', 'Math', '1+']",88.2%,Easy,55.5057%;
1513,1513. Number of Substrings With Only 1s,"['Math', 'String']",45.4%,Medium,9.10025%;
1514,1514. Path with Maximum Probability,"['Array', 'Graph', '2+']",48.6%,Medium,12.6515%;
1515,1515. Best Position for a Service Centre,"['Math', 'Geometry', 'Randomized']",37.3%,Hard,34.9753%;
1516,1516. Move Sub-Tree of N-Ary Tree,"['Tree', 'Depth-First Search']",63.4%,Hard,0%;
1517,1517. Find Users With Valid E-Mails,['Database'],54.1%,Easy,0%;
1518,1518. Water Bottles,"['Math', 'Simulation']",60.4%,Easy,26.3078%;
1519,1519. Number of Nodes in the Sub-Tree With the Same Label,"['Hash Table', 'Tree', '3+']",55.3%,Medium,75.8069%;
1520,1520. Maximum Number of Non-Overlapping Substrings,"['String', 'Greedy']",38.2%,Hard,67.5569%;
1521,1521. Find a Value of a Mysterious Function Closest to Target,"['Array', 'Binary Search', '2+']",43.6%,Hard,23.2741%;
1522,1522. Diameter of N-Ary Tree,"['Tree', 'Depth-First Search']",73.5%,Medium,0%;
1523,1523. Count Odd Numbers in an Interval Range,['Math'],49.7%,Easy,88.1188%;
1524,1524. Number of Sub-arrays With Odd Sum,"['Array', 'Math', '2+']",43.3%,Medium,39.1672%;
1525,1525. Number of Good Ways to Split a String,"['String', 'Dynamic Programming', '1+']",69.0%,Medium,28.2157%;
1526,1526. Minimum Number of Increments on Subarrays to Form a Target Array,"['Array', 'Dynamic Programming', '3+']",68.5%,Hard,35.1184%;
1527,1527. Patients With a Condition,['Database'],40.8%,Easy,13.0628%;
1528,1528. Shuffle String,"['Array', 'String']",85.2%,Easy,37.5271%;
1529,1529. Minimum Suffix Flips,"['String', 'Greedy']",72.6%,Medium,54.1111%;
1530,1530. Number of Good Leaf Nodes Pairs,"['Tree', 'Depth-First Search', 'Binary Tree']",61.1%,Medium,26.1833%;
1531,1531. String Compression II,"['String', 'Dynamic Programming']",49.6%,Hard,84.5586%;
1532,1532. The Most Recent Three Orders,['Database'],70.0%,Medium,0%;
1533,1533. Find the Index of the Large Integer,"['Array', 'Binary Search', 'Interactive']",56.0%,Medium,33.8438%;
1534,1534. Count Good Triplets,"['Array', 'Enumeration']",80.9%,Easy,41.1155%;
1535,1535. Find the Winner of an Array Game,"['Array', 'Simulation']",48.6%,Medium,40.869%;
1536,1536. Minimum Swaps to Arrange a Binary Grid,"['Array', 'Greedy', 'Matrix']",46.5%,Medium,50.0961%;
1537,1537. Get the Maximum Score,"['Array', 'Two Pointers', '2+']",39.3%,Hard,56.5328%;
1538,1538. Guess the Majority in a Hidden Array,"['Array', 'Math', 'Interactive']",63.5%,Medium,0%;
1539,1539. Kth Missing Positive Number,"['Array', 'Binary Search']",58.5%,Easy,55.9067%;
1540,1540. Can Convert String in K Moves,"['Hash Table', 'String']",33.4%,Medium,17.1707%;
1541,1541. Minimum Insertions to Balance a Parentheses String,"['String', 'Stack', 'Greedy']",49.8%,Medium,21.3499%;
1542,1542. Find Longest Awesome Substring,"['Hash Table', 'String', 'Bit Manipulation']",41.5%,Hard,35.1184%;
1543,1543. Fix Product Name Format,['Database'],60.9%,Easy,0%;
1544,1544. Make The String Great,"['String', 'Stack']",63.3%,Easy,63.7046%;
1545,1545. Find Kth Bit in Nth Binary String,"['String', 'Recursion']",58.4%,Medium,50.5291%;
1546,1546. Maximum Number of Non-Overlapping Subarrays With Sum Equals Target,"['Array', 'Hash Table', 'Greedy', '1+']",47.3%,Medium,15.5482%;
1547,1547. Minimum Cost to Cut a Stick,"['Array', 'Dynamic Programming']",57.1%,Hard,48.0843%;
1548,1548. The Most Similar Path in a Graph,"['Dynamic Programming', 'Graph']",57.1%,Hard,39.1672%;
1549,1549. The Most Recent Orders for Each Product,['Database'],67.4%,Medium,8.81463%;
1550,1550. Three Consecutive Odds,['Array'],63.5%,Easy,9.3665%;
1551,1551. Minimum Operations to Make Array Equal,['Math'],81.5%,Medium,30.1546%;
1552,1552. Magnetic Force Between Two Balls,"['Array', 'Binary Search', 'Sorting']",57.9%,Medium,30.6836%;
1553,1553. Minimum Number of Days to Eat N Oranges,"['Dynamic Programming', 'Memoization']",34.7%,Hard,27.8646%;
1554,1554. Strings Differ by One Character,"['Hash Table', 'String', 'Rolling Hash', '1+']",42.6%,Medium,44.5955%;
1555,1555. Bank Account Summary,['Database'],52.4%,Medium,0%;
1556,1556. Thousand Separator,['String'],54.6%,Easy,37.6083%;
1557,1557. Minimum Number of Vertices to Reach All Nodes,['Graph'],79.4%,Medium,10.3137%;
1558,1558. Minimum Numbers of Function Calls to Make Target Array,"['Array', 'Greedy', 'Bit Manipulation']",63.9%,Medium,27.6365%;
1559,1559. Detect Cycles in 2D Grid,"['Array', 'Depth-First Search', '3+']",48.0%,Medium,31.6547%;
1560,1560. Most Visited Sector in a Circular Track,"['Array', 'Simulation']",58.6%,Easy,63.576%;
1561,1561. Maximum Number of Coins You Can Get,"['Array', 'Math', 'Greedy', '2+']",79.1%,Medium,22.2025%;
1562,1562. Find Latest Group of Size M,"['Array', 'Binary Search', 'Simulation']",42.8%,Medium,14.8423%;
1563,1563. Stone Game V,"['Array', 'Math', '2+']",40.3%,Hard,38.4504%;
1564,1564. Put Boxes Into the Warehouse I,"['Array', 'Greedy', 'Sorting']",67.0%,Medium,0%;
1565,1565. Unique Orders and Customers Per Month,['Database'],82.9%,Easy,0%;
1566,1566. Detect Pattern of Length M Repeated K or More Times,"['Array', 'Enumeration']",43.4%,Easy,0%;
1567,1567. Maximum Length of Subarray With Positive Product,"['Array', 'Dynamic Programming', 'Greedy']",44.0%,Medium,45.4669%;
1568,1568. Minimum Number of Days to Disconnect Island,"['Array', 'Depth-First Search', '3+']",46.5%,Hard,35.377%;
1569,1569. Number of Ways to Reorder Array to Get Same BST,"['Array', 'Math', '8+']",47.8%,Hard,0%;
1570,1570. Dot Product of Two Sparse Vectors,"['Array', 'Hash Table', 'Two Pointers', '1+']",90.3%,Medium,66.9948%;
1571,1571. Warehouse Manager,['Database'],89.0%,Easy,10.907%;
1572,1572. Matrix Diagonal Sum,"['Array', 'Matrix']",80.2%,Easy,27.2372%;
1573,1573. Number of Ways to Split a String,"['Math', 'String']",32.5%,Medium,47.0615%;
1574,1574. Shortest Subarray to be Removed to Make Array Sorted,"['Array', 'Two Pointers', '3+']",37.0%,Medium,44.1052%;
1575,1575. Count All Possible Routes,"['Array', 'Dynamic Programming', '1+']",56.8%,Hard,27.6365%;
1576,1576. Replace All ?'s to Avoid Consecutive Repeating Characters,['String'],48.3%,Easy,46.0189%;
1577,1577. Number of Ways Where Square of Number Is Equal to Product of Two Numbers,"['Array', 'Hash Table', 'Math', '1+']",40.1%,Medium,33.3729%;
1578,1578. Minimum Time to Make Rope Colorful,"['Array', 'String', '2+']",63.5%,Medium,76.4536%;
1579,1579. Remove Max Number of Edges to Keep Graph Fully Traversable,"['Union Find', 'Graph']",53.2%,Hard,40.869%;
1580,1580. Put Boxes Into the Warehouse II,"['Array', 'Greedy', 'Sorting']",63.7%,Medium,0%;
1581,1581. Customer Who Visited but Did Not Make Any Transactions,['Database'],85.2%,Easy,7.82491%;
1582,1582. Special Positions in a Binary Matrix,"['Array', 'Matrix']",65.4%,Easy,35.377%;
1583,1583. Count Unhappy Friends,"['Array', 'Simulation']",60.9%,Medium,57.9822%;
1584,1584. Min Cost to Connect All Points,"['Array', 'Union Find', 'Graph', '1+']",64.0%,Medium,33.7482%;
1585,1585. Check If String Is Transformable With Substring Sort Operations,"['String', 'Greedy', 'Sorting']",47.9%,Hard,0%;
1586,1586. Binary Search Tree Iterator II,"['Stack', 'Tree', 'Design', '3+']",70.9%,Medium,39.1672%;
1587,1587. Bank Account Summary II,['Database'],86.3%,Easy,8.23292%;
1588,1588. Sum of All Odd Length Subarrays,"['Array', 'Math', 'Prefix Sum']",83.4%,Easy,53.3491%;
1589,1589. Maximum Sum Obtained of Any Permutation,"['Array', 'Greedy', 'Sorting', '1+']",37.2%,Medium,0%;
1590,1590. Make Sum Divisible by P,"['Array', 'Hash Table', 'Prefix Sum']",28.1%,Medium,37.4005%;
1591,1591. Strange Printer II,"['Array', 'Graph', 'Topological Sort', '1+']",58.6%,Hard,45.1464%;
1592,1592. Rearrange Spaces Between Words,['String'],43.5%,Easy,35.5829%;
1593,1593. Split a String Into the Max Number of Unique Substrings,"['Hash Table', 'String', 'Backtracking']",55.3%,Medium,26.7549%;
1594,1594. Maximum Non Negative Product in a Matrix,"['Array', 'Dynamic Programming', 'Matrix']",33.1%,Medium,25.1229%;
1595,1595. Minimum Cost to Connect Two Groups of Points,"['Array', 'Dynamic Programming', '3+']",46.5%,Hard,40.7349%;
1596,1596. The Most Frequently Ordered Products for Each Customer,['Database'],83.5%,Medium,14.7676%;
1597,1597. Build Binary Expression Tree From Infix Expression,"['String', 'Stack', 'Tree', '1+']",62.7%,Hard,33.8438%;
1598,1598. Crawler Log Folder,"['Array', 'String', 'Stack']",64.5%,Easy,30.9747%;
1599,1599. Maximum Profit of Operating a Centennial Wheel,"['Array', 'Simulation']",43.8%,Medium,0%;
1600,1600. Throne Inheritance,"['Hash Table', 'Tree', '2+']",63.6%,Medium,33.3729%;
1601,1601. Maximum Number of Achievable Transfer Requests,"['Array', 'Backtracking', '2+']",51.1%,Hard,23.2741%;
1602,1602. Find Nearest Right Node in Binary Tree,"['Tree', 'Breadth-First Search', '1+']",75.5%,Medium,0%;
1603,1603. Design Parking System,"['Design', 'Simulation', 'Counting']",87.9%,Easy,45.6179%;
1604,1604. Alert Using Same Key-Card Three or More Times in a One Hour Period,"['Array', 'Hash Table', 'String', '1+']",47.0%,Medium,47.4468%;
1605,1605. Find Valid Matrix Given Row and Column Sums,"['Array', 'Greedy', 'Matrix']",78.0%,Medium,3.41738%;
1606,1606. Find Servers That Handled Most Number of Requests,"['Array', 'Greedy', '2+']",43.1%,Hard,53.7583%;
1607,1607. Sellers With No Sales,['Database'],54.9%,Easy,6.05827%;
1608,1608. Special Array With X Elements Greater Than or Equal X,"['Array', 'Binary Search', 'Sorting']",60.5%,Easy,36.0524%;
1609,1609. Even Odd Tree,"['Tree', 'Breadth-First Search', '1+']",54.2%,Medium,23.4795%;
1610,1610. Maximum Number of Visible Points,"['Array', 'Math', 'Geometry', '2+']",37.3%,Hard,71.4317%;
1611,1611. Minimum One Bit Operations to Make Integers Zero,"['Dynamic Programming', '2+']",63.3%,Hard,50.0961%;
1612,1612. Check If Two Expression Trees are Equivalent,"['Tree', 'Depth-First Search', 'Binary Tree']",70.3%,Medium,0%;
1613,1613. Find the Missing IDs,['Database'],75.1%,Medium,0%;
1614,1614. Maximum Nesting Depth of the Parentheses,"['String', 'Stack']",82.3%,Easy,39.8402%;
1615,1615. Maximal Network Rank,['Graph'],58.5%,Medium,44.3174%;
1616,1616. Split Two Strings to Make Palindrome,"['Two Pointers', 'String']",31.2%,Medium,0%;
1617,1617. Count Subtrees With Max Distance Between Cities,"['Dynamic Programming', '4+']",66.1%,Hard,0%;
1618,1618. Maximum Font to Fit a Sentence in a Screen,"['Array', 'String', 'Binary Search', '1+']",59.7%,Medium,33.8438%;
1619,1619. Mean of Array After Removing Some Elements,"['Array', 'Sorting']",65.6%,Easy,14.4755%;
